index	sha	parent	author	email	authoredAt	subject	originalPatch	currentPatch
1	9f117055c5a8a09f5cc7080786accf853bdb25fe	224548d87d9aa9b8fdbcba2a8c1f96d5f2679ffa	SMARK	3222301373@qq.com	2026-04-21T20:15:53+08:00	feat(session): 添加同ClaudeCode一样的git上下文处理和配置选项逻辑	original/0001-9f117055c5a8.patch	current/0001-9f117055c5a8.patch
2	cebacb4b1518733323a57bb858fd8b4a9c82f0a7	9f117055c5a8a09f5cc7080786accf853bdb25fe	SMARK	3222301373@qq.com	2026-04-21T23:59:34+08:00	feat(read): 增强文件读取功能，添加设备文件保护和恶意代码提醒	original/0002-cebacb4b1518.patch	current/0002-cebacb4b1518.patch
3	a461c299ff2a104ebdf3a5e94944ce6a80057c70	cebacb4b1518733323a57bb858fd8b4a9c82f0a7	SMARK	3222301373@qq.com	2026-04-22T01:04:25+08:00	feat(usage): 优化消息使用情况计算，添加输入和输出流量显示	original/0003-a461c299ff2a.patch	current/0003-a461c299ff2a.patch
4	bc7a6f1778b518523c4c04009a93e940bb22c2eb	a461c299ff2a104ebdf3a5e94944ce6a80057c70	SMARK	3222301373@qq.com	2026-04-22T02:18:46+08:00	fix(session): 修复获取 git 上下文的调用方式，确保正确执行	original/0004-bc7a6f1778b5.patch	current/0004-bc7a6f1778b5.patch
5	6c994e2db366fa0231cd37279657b9afbcbbf735	bc7a6f1778b518523c4c04009a93e940bb22c2eb	SMARK	3222301373@qq.com	2026-04-22T02:20:16+08:00	feat(signal): 添加节流信号创建函数，优化性能和响应速度 feat(subagent-footer): 更新使用情况计算逻辑，添加工具输出字符估算 feat(context): 增强状态计算，支持工具输出字符估算	original/0005-6c994e2db366.patch	current/0005-6c994e2db366.patch
6	bb430162951a92c9139ee820da30866a4cdfbc6d	6c994e2db366fa0231cd37279657b9afbcbbf735	SMARK	3222301373@qq.com	2026-04-22T03:24:06+08:00	feat(usage): 优化使用信息计算，确保在无回复时显示零值	original/0006-bb430162951a.patch	current/0006-bb430162951a.patch
7	984de21dfbca5dbbdaa1848c30133f5b2727e397	bb430162951a92c9139ee820da30866a4cdfbc6d	SMARK	3222301373@qq.com	2026-04-22T09:34:57+08:00	feat(version): 添加版本环境加载功能，确保在模块评估时设置 OPENCODE_VERSION	original/0007-984de21dfbca.patch	current/0007-984de21dfbca.patch
8	4d3c3d4e546a4a399c1b839c76c109c7bddb1ebb	984de21dfbca5dbbdaa1848c30133f5b2727e397	SMARK	3222301373@qq.com	2026-04-22T16:56:44+08:00	feat(build): 添加操作系统过滤功能以优化目标构建	original/0008-4d3c3d4e546a.patch	current/0008-4d3c3d4e546a.patch
9	5b4ab2741b2708533c0c128dfbf875ecf4257408	4d3c3d4e546a4a399c1b839c76c109c7bddb1ebb	SMARK	3222301373@qq.com	2026-04-22T19:48:21+08:00	feat(prompt): 优化助手消息处理，包含tool_delta的token计算，确保在无助手消息时显示零值并计算总输入输出	original/0009-5b4ab2741b27.patch	current/0009-5b4ab2741b27.patch
10	fc63945230100998fe253b53f7c000338ae176ce	5b4ab2741b2708533c0c128dfbf875ecf4257408	SMARK	3222301373@qq.com	2026-04-22T20:22:30+08:00	feat(signal): 添加createTokenFlowPulse函数，优化输入输出流动状态的管理	original/0010-fc6394523010.patch	current/0010-fc6394523010.patch
11	589bb20e905fa4a8246af5394283a68e226ed61a	fc63945230100998fe253b53f7c000338ae176ce	SMARK	3222301373@qq.com	2026-04-22T21:02:23+08:00	feat(version): 优化版本环境加载逻辑，支持通过--version参数设置OPENCODE_VERSION	original/0011-589bb20e905f.patch	current/0011-589bb20e905f.patch
12	b1bf9c5a50cef785d92db184c9bcf5ed2f98af17	589bb20e905fa4a8246af5394283a68e226ed61a	SMARK	3222301373@qq.com	2026-04-23T00:08:14+08:00	feat(usage): 添加总输入输出统计，优化助手消息处理逻辑	original/0012-b1bf9c5a50ce.patch	current/0012-b1bf9c5a50ce.patch
